"Branch","FY23 Customers Served","FY23 Wait Time","FY24 Customers Served","FY24 Wait Time","FY25 Customers Served","FY25 Wait Time","July 2025 Customers Served","July 2025 Wait Time","August 2025 Customers Served","August 2025 Wait Time","September 2025 Customers Served","September 2025 Wait Time","October 2025 Customers Served","October 2025 Wait Time","November 2025 Customers Served","November 2025 Wait Time","December 2025 Customers Served","December 2025 Wait Time"
"Annapolis","105,992","5.79","110,597","5.85","107,575","7.23","9,307","7.97","9,533","8.33","8,265","6.13","8,425","5.48","7,007","4.12","7,118","5.45"
"Baltimore City","112,960","10.02","127,207","4.61","132,877","5.66","12,480","6.48","12,245","6.57","11,471","4.51","11,528","3.81","9,891","3.73","9,582","3.55"
"Bel Air","73,077","6.57","71,409","4.85","61,663","4.57","5,413","5.76","5,465","4.72","5,324","4.64","5,437","3.95","4,587","2.93","4,710","4.53"
"Beltsville","99,929","8.91","103,227","6.44","108,784","5.57","10,079","6.37","9,998","6.26","9,340","5.59","8,904","4.76","7,324","3.95","7,201","5.22"
"Columbia","68,011","7.8","73,568","5.57","71,685","4.63","5,992","5.13","5,918","5.76","5,889","4.42","5,875","5.02","4,873","4.01","5,267","4.89"
"Cumberland","22,425","2.28","25,696","1.34","23,950","1.09","2,021","1.14","2,348","1.13","2,179","1.11","2,248","1.15","1,750","0.96","1,700","0.96"
"Easton","42,068","3.67","42,730","1.98","40,449","2.46","3,550","3.85","3,545","3.08","3,477","2.62","3,531","2.56","2,996","2.09","3,119","2.57"
"Elkton","35,745","6.59","36,404","3.69","32,604","3.29","2,753","3.57","2,669","3.68","2,589","3.74","2,656","2.99","2,280","2.3","2,234","2.28"
"Essex","80,170","9.68","87,460","5.37","87,958","4.84","7,536","5.16","7,621","6.51","7,578","5.32","7,664","4.95","6,432","4","6,406","4.74"
"Frederick","84,010","8.19","89,794","5.1","82,273","5.45","7,332","5","7,341","4.22","6,918","3.53","6,924","2.74","5,665","2.99","5,804","2.48"
"Gaithersburg","128,165","8","132,971","6.52","131,506","6.19","11,531","7.54","11,303","8.01","10,825","5.6","11,005","6.23","9,268","5.65","9,367","4.89"
"Glen Burnie","144,464","9.13","146,925","7.85","132,230","7.71","11,917","7.86","11,875","8.39","11,174","6.95","11,254","5.41","9,443","4.96","9,556","5.86"
"Hagerstown","53,895","5.45","52,886","4.42","51,678","3.92","4,774","5.1","4,702","4.24","4,781","3.7","4,947","2.64","3,839","2.91","3,899","2.95"
"Kemp Mill","44,981","6.77","48,598","4.31","50,726","3.95","4,664","3.73","4,753","3.58","4,569","2.37","4,718","1.98","3,899","1.69","3,898","1.85"
"Largo","119,730","8.45","120,263","6.62","122,065","7.04","10,459","8.37","10,528","8.36","9,903","7.15","10,104","5.23","8,192","6.76","8,572","6.89"
"Loveville","39,141","6.76","41,678","3.82","40,498","3.3","3,719","4.85","3,706","4.27","3,431","3.18","3,322","2.92","2,715","3.58","3,072","4.08"
"Oakland","3,643","3.86","4,165","3.02","3,754","2.69","417","4.33","373","3.35","440","4.48","384","4.48","257","5.12","308","3.55"
"Parkville","65,024","7.35","66,513","2.62","64,348","3.06","5,911","3.39","5,964","3.42","5,744","2.65","5,801","2.3","4,885","2.42","4,886","2.84"
"Prince Frederick","12,612","5.52","13,693","3.94","13,108","3.03","1,349","3.34","1,161","3.03","1,282","3.38","1,184","3.15","1,091","4.28","1,293","5.06"
"Salisbury","58,043","6.9","63,832","6.38","63,630","4.46","5,677","4.26","5,540","4.47","5,568","3.61","5,507","3.03","4,695","3.85","4,736","3.8"
"Waldorf","78,822","7.83","80,234","6.21","80,729","5.26","7,399","5.57","7,553","6.7","7,433","5.13","7,439","5.77","6,191","5.5","6,556","5.88"
"Walnut Hill","54,485","8.13","57,118","3.08","54,178","4.5","4,940","5.41","4,826","7.02","4,088","4.43","4,115","3.81","3,326","5.93","3,472","5.12"
"Westminster","57,611","5.84","62,393","3.98","56,526","5.05","4,742","6.96","4,912","8.41","4,553","6.11","4,389","6.04","3,845","5.81","3,761","4.1"
"White Oak","107,578","6.45","118,833","4.7","117,621","7.45","10,254","8.22","10,349","8","9,651","7.9","9,849","6.07","8,108","4.14","8,120","4.32"
"Statewide","1,692,581","7.58","1,778,194","5.28","1,732,415","5.45","154,216","6.14","154,228","6.33","146,472","5.06","147,222","4.45","122,559","4.17","124,637","4.46"
